1,66766,e
0,66666,a
3,66666,a
3,76676,t
2,66677,d
4,76667,s
2,76666,r
0,76676,t
3,76666,r
4,76676,t
2,66666,a
3,66677,d
5,76776,y
2,76666,r
2,67767,o
1,67666,i
5,66776,g
4,66676,c
4,66766,e
1,67666,i
4,66666,a
1,66666,a
3,67666,i
5,66677,d
1,66666,a
0,67666,i
2,76666,r
1,66766,e
2,76676,t
5,76676,t
5,66677,d
2,67767,o
3,76677,u
0,76667,s
1,67676,l
0,66667,b
0,66667,b
3,66677,d
5,76776,y
5,66766,e
1,66666,a
5,76776,y
3,67676,l
1,66666,a
1,67666,i
5,67766,n
1,66766,e
3,67767,o
0,67766,n
5,66766,e
0,76666,r
2,76676,t
5,76666,r
5,76676,t
5,76667,s
0,66767,f
0,76666,r
3,67767,o
0,67677,m
4,67767,o
1,66666,a
2,67676,l
0,67676,l
2,66677,d
4,67676,l
4,66766,e
2,67767,o
3,66677,d
1,67767,o
1,66777,h
1,76677,u
2,67776,p
2,66666,a
1,76677,u
3,76676,t
2,76666,r
3,67666,i
5,66766,e
3,66766,e
3,66766,e
2,66676,c
1,66767,f
3,67767,o
0,66676,c
4,66776,g
1,76666,r
3,66667,b
1,67767,o
3,67677,m
1,66777,h
4,66766,e
4,67767,o
0,66776,g
3,66677,d
1,76666,r
0,66677,d
1,67767,o
2,67766,n
1,66766,e
0,66677,d
0,66666,a
0,67776,p
3,67776,p
3,76666,r
0,66767,f
4,67667,k
2,66677,d
2,67766,n
3,76677,u
5,66766,e
5,76666,r
2,76676,t
0,67776,p
5,66677,d
3,67666,i
3,66767,f
3,66676,c
3,76676,t
2,67676,l
3,76676,t
0,66766,e
4,76677,u
5,66766,e
3,67767,o
5,66777,h
0,66776,g
2,67767,o
5,76666,r
4,67767,o
2,76667,s
5,66677,d
2,76677,u
4,67666,i
4,66766,e
4,66766,e
4,67676,l
2,76667,s
3,66776,g
1,66676,c
0,76667,s
1,66777,h
2,76666,r
5,76667,s
3,67767,o
4,66666,a
1,67767,o
4,76677,v
0,66667,b
1,66676,c
2,76676,t
